codigo,proyecto_codigo,tipo_unidad,tipologia,superficie_util,superficie_terraza,precio_venta,precio_arriendo,numero_piso,numero_unidad,dormitorios,banos,estacionamientos,bodegas,orientacion,estado,gastos_comunes,contribuciones
PROP-VM-501,PROY-001,departamento,2D2B,65.5,8.0,4500000,180000,5,501,2,2,1,1,Norte,disponible,45000,28000
PROP-VM-502,PROY-001,departamento,2D2B,67.2,8.5,4650000,185000,5,502,2,2,1,1,Sur,disponible,45000,29000
PROP-VM-801,PROY-001,departamento,3D2B,85.0,12.0,6200000,250000,8,801,3,2,1,1,Norte,disponible,55000,38000
PROP-VM-802,PROY-001,departamento,3D3B,92.5,15.0,6800000,275000,8,802,3,3,2,1,Oriente,reservada,58000,42000
PROP-VM-1001,PROY-001,departamento,4D3B,120.0,25.0,8500000,350000,10,1001,4,3,2,2,Norte,disponible,72000,52000
PROP-LA-01,PROY-002,casa,4D3B,180.0,0,15500000,650000,0,Casa 1,4,3,2,1,Norte,disponible,85000,95000
PROP-LA-02,PROY-002,casa,5D4B,220.0,0,18500000,780000,0,Casa 2,5,4,3,1,Poniente,disponible,95000,115000
PROP-TM-301,PROY-003,departamento,1D1B,42.0,6.0,5500000,220000,3,301,1,1,1,0,Sur,disponible,38000,34000
PROP-TM-302,PROY-003,departamento,2D1B,55.0,8.0,6800000,270000,3,302,2,1,1,1,Norte,vendida,42000,42000
PROP-TM-1501,PROY-003,departamento,3D2B,95.0,20.0,12000000,480000,15,1501,3,2,2,1,Oriente,disponible,65000,74000
PROP-PB-01,PROY-004,terreno,Parcela,5000.0,0,15000000,0,0,Parcela 1,0,0,0,0,N/A,disponible,25000,120000
PROP-PB-02,PROY-004,terreno,Parcela,8000.0,0,22000000,0,0,Parcela 2,0,0,0,0,N/A,disponible,35000,180000
PROP-EC-501,PROY-005,oficina,Oficina,85.0,0,7500000,350000,5,501,0,2,2,1,Norte,disponible,95000,82000
PROP-EC-502,PROY-005,oficina,Oficina,120.0,0,9000000,420000,5,502,0,3,3,1,Sur,arrendada,120000,98000
PROP-EC-1001,PROY-005,oficina,Oficina Grande,250.0,0,18000000,850000,10,1001,0,4,5,2,Norte,disponible,220000,185000
